_id,Year,Month,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin,Mail From Origin,Mail To Origin
93,2015,8,AHMEDABAD,INDORE,549,768,"","","",""
94,2015,9,AHMEDABAD,INDORE,439,648,"","","",""
95,2015,10,AHMEDABAD,INDORE,807,947,"","","",""
96,2015,11,AHMEDABAD,INDORE,2017,2409,"","","",""
97,2015,12,AHMEDABAD,INDORE,2880,3420,"","","",""
98,2015,4,AHMEDABAD,JAIPUR,3373,2852,"","","",""
99,2015,5,AHMEDABAD,JAIPUR,3824,3776,"","","",""
100,2015,6,AHMEDABAD,JAIPUR,3341,3566,"","","",""
101,2015,7,AHMEDABAD,JAIPUR,3079,2856,"","","",""
102,2015,8,AHMEDABAD,JAIPUR,3109,2880,"","","",""
103,2015,9,AHMEDABAD,JAIPUR,2759,2842,"","","",""
104,2015,10,AHMEDABAD,JAIPUR,3036,3147,"","","",""
105,2015,11,AHMEDABAD,JAIPUR,4177,3424,"","","",""
106,2015,12,AHMEDABAD,JAIPUR,4358,4343,"","","",""
107,2015,4,AHMEDABAD,KOCHI,1266,1117,"","","",""
108,2015,5,AHMEDABAD,KOCHI,2495,2027,"","","",""
109,2015,6,AHMEDABAD,KOCHI,800,1346,"","","",""
110,2015,7,AHMEDABAD,KOCHI,574,562,"","","",""
111,2015,8,AHMEDABAD,KOCHI,1106,1121,"","","",""
112,2015,9,AHMEDABAD,KOCHI,1621,1948,"","","",""
113,2015,10,AHMEDABAD,KOCHI,1470,1730,"","","",""
114,2015,11,AHMEDABAD,KOCHI,2651,2629,"","","",""
115,2015,12,AHMEDABAD,KOCHI,2305,2396,"","","",""
116,2015,4,AHMEDABAD,KOLKATA,11814,9387,"","","",""
117,2015,5,AHMEDABAD,KOLKATA,15614,13532,"","","",""
118,2015,6,AHMEDABAD,KOLKATA,10372,12691,"","","",""
119,2015,7,AHMEDABAD,KOLKATA,11000,10322,"","","",""
120,2015,8,AHMEDABAD,KOLKATA,9813,10233,"","","",""
121,2015,9,AHMEDABAD,KOLKATA,10777,9785,"","","",""
122,2015,10,AHMEDABAD,KOLKATA,11531,11192,"","","",""
123,2015,11,AHMEDABAD,KOLKATA,13271,11882,"","","",""
124,2015,12,AHMEDABAD,KOLKATA,13214,14235,"","","",""
125,2015,4,AHMEDABAD,LUCKNOW,1720,1408,"","","",""
126,2015,5,AHMEDABAD,LUCKNOW,1628,1370,"","","",""
127,2015,6,AHMEDABAD,LUCKNOW,1477,1511,"","","",""
128,2015,7,AHMEDABAD,LUCKNOW,1316,1425,"","","",""
129,2015,8,AHMEDABAD,LUCKNOW,1330,1173,"","","",""
130,2015,9,AHMEDABAD,LUCKNOW,1028,888,"","","",""
131,2015,10,AHMEDABAD,LUCKNOW,1135,1147,"","","",""
132,2015,11,AHMEDABAD,LUCKNOW,1265,898,"","","",""
133,2015,12,AHMEDABAD,LUCKNOW,1265,1013,"","","",""
134,2015,4,AHMEDABAD,MUMBAI,85411,87535,"","","",""
135,2015,5,AHMEDABAD,MUMBAI,97812,88167,"","","",""
136,2015,6,AHMEDABAD,MUMBAI,81105,77858,"","","",""
137,2015,7,AHMEDABAD,MUMBAI,77364,76263,"","","",""
138,2015,8,AHMEDABAD,MUMBAI,84453,79857,"","","",""
139,2015,9,AHMEDABAD,MUMBAI,84257,82079,"","","",""
140,2015,10,AHMEDABAD,MUMBAI,72612,75662,"","","",""
141,2015,11,AHMEDABAD,MUMBAI,89493,92810,"","","",""
142,2015,12,AHMEDABAD,MUMBAI,100086,101057,"","","",""
143,2015,4,AHMEDABAD,NAGPUR,980,1197,"","","",""
144,2015,5,AHMEDABAD,NAGPUR,1372,1349,"","","",""
145,2015,6,AHMEDABAD,NAGPUR,1152,1314,"","","",""
146,2015,7,AHMEDABAD,NAGPUR,712,797,"","","",""
147,2015,8,AHMEDABAD,NAGPUR,921,909,"","","",""
148,2015,9,AHMEDABAD,NAGPUR,967,1071,"","","",""
149,2015,10,AHMEDABAD,NAGPUR,1141,1004,"","","",""
150,2015,11,AHMEDABAD,NAGPUR,1234,1066,"","","",""
151,2015,12,AHMEDABAD,NAGPUR,1405,1362,"","","",""
152,2015,4,AHMEDABAD,PUNE,7768,8021,"","","",""
153,2015,5,AHMEDABAD,PUNE,7002,7139,"","","",""
154,2015,6,AHMEDABAD,PUNE,6958,7358,"","","",""
155,2015,7,AHMEDABAD,PUNE,8331,8695,"","","",""
156,2015,8,AHMEDABAD,PUNE,10471,11033,"","","",""
157,2015,9,AHMEDABAD,PUNE,13292,13682,"","","",""
158,2015,10,AHMEDABAD,PUNE,15218,14912,"","","",""
159,2015,11,AHMEDABAD,PUNE,15279,16115,"","","",""
160,2015,12,AHMEDABAD,PUNE,17111,16745,"","","",""
161,2015,10,AHMEDABAD,RAIPUR,89,112,"","","",""
162,2015,11,AHMEDABAD,RAIPUR,933,912,"","","",""
163,2015,12,AHMEDABAD,RAIPUR,857,945,"","","",""
